"2014-02-17", 68.872412, 124
"2014-02-18", 60.789329, 96
"2014-02-19", 81.011288, 120
"2014-02-20", 111.766533, 162
"2014-02-21", 104.464757, 146
"2014-02-22", 69.013680, 96
"2014-02-23", 71.819081, 100
"2014-02-24", 76.520811, 115
"2014-02-25", 191.171846, 222
"2014-02-26", 96.267575, 155
"2014-02-27", 65.946958, 119
"2014-02-28", 82.228686, 123
"2014-03-01", 56.702387, 91
"2014-03-02", 48.636094, 84
"2014-03-03", 166.936600, 220
"2014-03-04", 180.561936, 213
"2014-03-05", 49.048095, 87
"2014-03-06", 22.156447, 35
"2014-03-07", 5.823095, 20
"2014-03-08", 7.212174, 19
"2014-03-09", 9.548617, 21
"2014-03-10", 19.699655, 32
"2014-03-11", 12.875802, 33
"2014-03-12", 17.599001, 25
"2014-03-13", 18.213671, 22
"2014-03-14", 9.993259, 23
"2014-03-15", 4.951619, 11
"2014-03-16", 6.546938, 22
"2014-03-17", 10.479586, 19
"2014-03-18", 11.452393, 16
"2014-03-19", 11.075293, 21
"2014-03-20", 9.370625, 15
"2014-03-21", 11.800232, 17
